position,team,playedGames,won,draw,lost,points,goalsFor,goalsAgainst,goalDifference,table_type,l_id,crestUrl,shortName
12,Nîmes Olympique,3,1,1,1,4,5,5,0,HOME,FL1,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f0/N%C3%AEmes_Olympique_logo_2018.svg/130px-N%C3%AEmes_Olympique_logo_2018.svg,Nîmes Ol.
13,Angers SCO,3,1,1,1,4,4,4,0,HOME,FL1,https://upload.wikimedia.org/wikipedia/fr/thumb/3/34/Logo_SCO_Angers.svg/130px-Logo_SCO_Angers.svg,Angers SCO
14,Stade de Reims,3,1,1,1,4,1,1,0,HOME,FL1,https://upload.wikimedia.org/wikipedia/fr/thumb/0/0e/Stade_Reims_1999.svg/130px-Stade_Reims_1999.svg,Stade de Reims
15,SM Caen,3,0,3,0,3,5,5,0,HOME,FL1,https://upload.wikimedia.org/wikipedia/fr/thumb/7/79/Logo_SM_Caen_2016.svg/130px-Logo_SM_Caen_2016.svg,SM Caen
16,OGC de Nice Côte d'Azur,3,1,0,2,3,2,6,-4,HOME,FL1,https://upload.wikimedia.org/wikipedia/fr/thumb/b/b1/Logo_OGC_Nice_2013.svg/130px-Logo_OGC_Nice_2013.svg,OGC Nice
17,Dijon Football Côte d'Or,4,1,0,3,3,3,8,-5,HOME,FL1,https://upload.wikimedia.org/wikipedia/fr/thumb/c/c9/LogoDFCO.svg/130px-LogoDFCO.svg,Dijon FCO
18,AS Monaco FC,4,0,2,2,2,3,5,-2,HOME,FL1,https://upload.wikimedia.org/wikipedia/fr/thumb/b/ba/AS_Monaco_FC.svg/130px-AS_Monaco_FC.svg,Monaco
19,FC Nantes,4,0,2,2,2,3,6,-3,HOME,FL1,https://upload.wikimedia.org/wikipedia/fr/thumb/2/21/Logo_FC_Nantes_2008.svg/130px-Logo_FC_Nantes_2008.svg,FC Nantes
20,En Avant Guingamp,3,0,0,3,0,3,8,-5,HOME,FL1,https://upload.wikimedia.org/wikipedia/fr/thumb/9/99/En_Avant_de_Guingamp_logo.svg/130px-En_Avant_de_Guingamp_logo.svg,EA Guingamp
1,Paris Saint-Germain FC,3,3,0,0,9,10,4,6,AWAY,FL1,https://upload.wikimedia.org/wikipedia/fr/thumb/8/86/Paris_Saint-Germain_Logo.svg/130px-Paris_Saint-Germain_Logo.svg,PSG
2,Dijon Football Côte d'Or,3,2,1,0,7,6,1,5,AWAY,FL1,https://upload.wikimedia.org/wikipedia/fr/thumb/c/c9/LogoDFCO.svg/130px-LogoDFCO.svg,Dijon FCO
3,Montpellier HSC,3,2,1,0,7,5,3,2,AWAY,FL1,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Montpellier_H%C3%A9rault_Sport_Club_%28logo%2C_2000%29.svg/130px-Montpellier_H%C3%A9rault_Sport_Club_%28logo%2C_2000%29.svg,Montpellier
4,OGC de Nice Côte d'Azur,4,2,1,1,7,4,3,1,AWAY,FL1,https://upload.wikimedia.org/wikipedia/fr/thumb/b/b1/Logo_OGC_Nice_2013.svg/130px-Logo_OGC_Nice_2013.svg,OGC Nice
5,Angers SCO,4,2,0,2,6,5,5,0,AWAY,FL1,https://upload.wikimedia.org/wikipedia/fr/thumb/3/34/Logo_SCO_Angers.svg/130px-Logo_SCO_Angers.svg,Angers SCO
6,Nîmes Olympique,4,1,2,1,5,8,8,0,AWAY,FL1,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f0/N%C3%AEmes_Olympique_logo_2018.svg/130px-N%C3%AEmes_Olympique_logo_2018.svg,Nîmes Ol.
7,AS Saint-Étienne,4,1,2,1,5,4,7,-3,AWAY,FL1,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Logo_AS_Saint-%C3%89tienne.svg/130px-Logo_AS_Saint-%C3%89tienne.svg.png,Saint-Étienne
8,Olympique Lyonnais,3,1,1,1,4,5,3,2,AWAY,FL1,https://upload.wikimedia.org/wikipedia/fr/thumb/e/e2/Olympique_lyonnais_%28logo%29.svg/130px-Olympique_lyonnais_%28logo%29.svg,Olympique Lyon
9,AS Monaco FC,3,1,1,1,4,5,4,1,AWAY,FL1,https://upload.wikimedia.org/wikipedia/fr/thumb/b/ba/AS_Monaco_FC.svg/130px-AS_Monaco_FC.svg,Monaco
10,RC Strasbourg Alsace,4,1,1,2,4,5,6,-1,AWAY,FL1,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1a/Racing_Club_de_Strasbourg_Alsace_%28RCSA%29_logo.svg/130px-Racing_Club_de_Strasbourg_Alsace_%28RCSA%29_logo.svg,RC Strasbourg
11,Lille OSC,4,1,1,2,4,3,4,-1,AWAY,FL1,https://upload.wikimedia.org/wikipedia/fr/thumb/6/62/Logo_LOSC_Lille_2018.svg/130px-Logo_LOSC_Lille_2018.svg,Lille OSC
12,SM Caen,4,1,1,2,4,4,6,-2,AWAY,FL1,https://upload.wikimedia.org/wikipedia/fr/thumb/7/79/Logo_SM_Caen_2016.svg/130px-Logo_SM_Caen_2016.svg,SM Caen
13,Toulouse FC,3,1,1,1,4,2,5,-3,AWAY,FL1,https://upload.wikimedia.org/wikipedia/fr/thumb/8/8b/Logo_Toulouse_FC_2018.svg/600px-Logo_Toulouse_FC_2018.svg,Toulouse FC
14,Stade de Reims,4,1,1,2,4,3,8,-5,AWAY,FL1,https://upload.wikimedia.org/wikipedia/fr/thumb/0/0e/Stade_Reims_1999.svg/130px-Stade_Reims_1999.svg,Stade de Reims
15,FC Girondins de Bordeaux,3,1,0,2,3,4,5,-1,AWAY,FL1,https://upload.wikimedia.org/wikipedia/fr/thumb/7/76/Logo_des_Girondins_de_Bordeaux.svg/130px-Logo_des_Girondins_de_Bordeaux.svg,Bordeaux
16,FC Nantes,3,1,0,2,3,4,6,-2,AWAY,FL1,https://upload.wikimedia.org/wikipedia/fr/thumb/2/21/Logo_FC_Nantes_2008.svg/130px-Logo_FC_Nantes_2008.svg,FC Nantes
17,Olympique de Marseille,3,1,0,2,3,6,9,-3,AWAY,FL1,https://upload.wikimedia.org/wikipedia/fr/thumb/4/43/Logo_Olympique_de_Marseille.svg/130px-Logo_Olympique_de_Marseille.svg.png,Marseille
18,Stade Rennais FC 1901,4,0,1,3,1,5,9,-4,AWAY,FL1,https://upload.wikimedia.org/wikipedia/fr/thumb/e/e9/Logo_Stade_Rennais_FC.svg/130px-Logo_Stade_Rennais_FC.svg,Stade Rennes
19,Amiens SC,3,0,1,2,1,1,5,-4,AWAY,FL1,https://upload.wikimedia.org/wikipedia/fr/thumb/e/ec/Logo_Amiens_SC_1998.svg/130px-Logo_Amiens_SC_1998.svg,Amiens SC
20,En Avant Guingamp,4,0,1,3,1,1,9,-8,AWAY,FL1,https://upload.wikimedia.org/wikipedia/fr/thumb/9/99/En_Avant_de_Guingamp_logo.svg/130px-En_Avant_de_Guingamp_logo.svg,EA Guingamp
1,Juventus FC,6,6,0,0,18,13,4,9,TOTAL,SA,http://upload.wikimedia.org/wikipedia/de/d/d2/Juventus_Turin.svg,Juventus
2,SSC Napoli,6,5,0,1,15,12,7,5,TOTAL,SA,http://upload.wikimedia.org/wikipedia/commons/2/28/S.S.C._Napoli_logo.svg,Napoli
3,US Sassuolo Calcio,6,4,1,1,13,14,8,6,TOTAL,SA,http://upload.wikimedia.org/wikipedia/de/a/a3/US_Sassuolo_Calcio.svg,Sassuolo
4,SS Lazio,6,4,0,2,12,9,6,3,TOTAL,SA,http://upload.wikimedia.org/wikipedia/de/thumb/4/47/Lazio_Rom.svg/500px-Lazio_Rom.svg.png,Lazio
5,ACF Fiorentina,6,3,1,2,10,12,5,7,TOTAL,SA,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/ACF_Fiorentina_2.svg/261px-ACF_Fiorentina_2.svg,Fiorentina
6,FC Internazionale Milano,6,3,1,2,10,8,5,3,TOTAL,SA,https://upload.wikimedia.org/wikipedia/en/thumb/0/0b/Inter_Milan.svg/316px-Inter_Milan.svg,Inter
7,Genoa CFC,5,3,0,2,9,9,10,-1,TOTAL,SA,http://upload.wikimedia.org/wikipedia/de/7/76/Genoa_CFC.svg,Genoa
8,SPAL 2013,6,3,0,3,9,4,6,-2,TOTAL,SA,,SPAL 2013
9,UC Sampdoria,6,2,2,2,8,9,3,6,TOTAL,SA,,Sampdoria
10,AS Roma,6,2,2,2,8,11,9,2,TOTAL,SA,http://upload.wikimedia.org/wikipedia/de/3/32/AS_Rom.svg,Roma
11,AC Milan,5,2,2,1,8,8,7,1,TOTAL,SA,http://upload.wikimedia.org/wikipedia/de/9/9e/AC_Mailand_Logo.svg,Milan
12,Udinese Calcio,6,2,2,2,8,7,6,1,TOTAL,SA,http://upload.wikimedia.org/wikipedia/de/b/b1/Udinese_Calcio.svg,Udinese
13,Parma Calcio 1913,6,2,1,3,7,6,8,-2,TOTAL,SA,http://upload.wikimedia.org/wikipedia/de/e/e2/FC_Parma.svg,Parma
14,Atalanta BC,6,1,3,2,6,9,8,1,TOTAL,SA,http://upload.wikimedia.org/wikipedia/de/2/28/Atalanta_BC.svg,Atalanta
15,Torino FC,6,1,3,2,6,5,7,-2,TOTAL,SA,http://upload.wikimedia.org/wikipedia/de/2/2e/Torino_FC_Logo.svg,Torino
16,Cagliari Calcio,6,1,3,2,6,4,7,-3,TOTAL,SA,http://upload.wikimedia.org/wikipedia/de/3/3d/Cagliari_Calcio.svg,Cagliari
17,Empoli FC,6,1,1,4,4,4,7,-3,TOTAL,SA,http://upload.wikimedia.org/wikipedia/de/4/42/Logo_FC_Empoli.svg,Empoli
18,Bologna FC 1909,6,1,1,4,4,2,7,-5,TOTAL,SA,http://upload.wikimedia.org/wikipedia/de/9/92/FC_Bologna.svg,Bologna
19,Frosinone Calcio,6,0,1,5,1,0,16,-16,TOTAL,SA,https://upload.wikimedia.org/wikipedia/it/c/c3/Frosinonestemma.png,Frosinone
20,AC Chievo Verona,6,0,2,4,-1,5,15,-10,TOTAL,SA,http://upload.wikimedia.org/wikipedia/de/3/3f/AC_Chievo_Verona.svg,Chievo
1,ACF Fiorentina,3,3,0,0,9,10,1,9,HOME,SA,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/ACF_Fiorentina_2.svg/261px-ACF_Fiorentina_2.svg,Fiorentina
2,US Sassuolo Calcio,3,3,0,0,9,9,4,5,HOME,SA,http://upload.wikimedia.org/wikipedia/de/a/a3/US_Sassuolo_Calcio.svg,Sassuolo
3,SSC Napoli,3,3,0,0,9,7,2,5,HOME,SA,http://upload.wikimedia.org/wikipedia/commons/2/28/S.S.C._Napoli_logo.svg,Napoli
4,Juventus FC,3,3,0,0,9,6,1,5,HOME,SA,http://upload.wikimedia.org/wikipedia/de/d/d2/Juventus_Turin.svg,Juventus
5,Genoa CFC,3,3,0,0,9,5,1,4,HOME,SA,http://upload.wikimedia.org/wikipedia/de/7/76/Genoa_CFC.svg,Genoa
6,SS Lazio,3,2,0,1,6,6,3,3,HOME,SA,http://upload.wikimedia.org/wikipedia/de/thumb/4/47/Lazio_Rom.svg/500px-Lazio_Rom.svg.png,Lazio
7,SPAL 2013,3,2,0,1,6,3,2,1,HOME,SA,,SPAL 2013
8,AS Roma,3,1,2,0,5,9,5,4,HOME,SA,http://upload.wikimedia.org/wikipedia/de/3/32/AS_Rom.svg,Roma
9,Atalanta BC,3,1,1,1,4,4,1,3,HOME,SA,http://upload.wikimedia.org/wikipedia/de/2/28/Atalanta_BC.svg,Atalanta
10,UC Sampdoria,3,1,1,1,4,4,2,2,HOME,SA,,Sampdoria
11,Parma Calcio 1913,3,1,1,1,4,5,4,1,HOME,SA,http://upload.wikimedia.org/wikipedia/de/e/e2/FC_Parma.svg,Parma
12,AC Milan,2,1,1,0,4,4,3,1,HOME,SA,http://upload.wikimedia.org/wikipedia/de/9/9e/AC_Mailand_Logo.svg,Milan
13,FC Internazionale Milano,3,1,1,1,4,4,4,0,HOME,SA,https://upload.wikimedia.org/wikipedia/en/thumb/0/0b/Inter_Milan.svg/316px-Inter_Milan.svg,Inter
14,Udinese Calcio,3,1,1,1,4,3,3,0,HOME,SA,http://upload.wikimedia.org/wikipedia/de/b/b1/Udinese_Calcio.svg,Udinese
15,Cagliari Calcio,3,0,3,0,3,3,3,0,HOME,SA,http://upload.wikimedia.org/wikipedia/de/3/3d/Cagliari_Calcio.svg,Cagliari
16,Empoli FC,3,1,0,2,3,2,2,0,HOME,SA,http://upload.wikimedia.org/wikipedia/de/4/42/Logo_FC_Empoli.svg,Empoli
17,Torino FC,3,1,0,2,3,2,4,-2,HOME,SA,http://upload.wikimedia.org/wikipedia/de/2/2e/Torino_FC_Logo.svg,Torino
18,Bologna FC 1909,3,1,0,2,3,2,4,-2,HOME,SA,http://upload.wikimedia.org/wikipedia/de/9/92/FC_Bologna.svg,Bologna
19,AC Chievo Verona,3,0,1,2,1,2,5,-3,HOME,SA,http://upload.wikimedia.org/wikipedia/de/3/3f/AC_Chievo_Verona.svg,Chievo
20,Frosinone Calcio,3,0,1,2,1,0,7,-7,HOME,SA,https://upload.wikimedia.org/wikipedia/it/c/c3/Frosinonestemma.png,Frosinone
1,Juventus FC,3,3,0,0,9,7,3,4,AWAY,SA,http://upload.wikimedia.org/wikipedia/de/d/d2/Juventus_Turin.svg,Juventus
2,FC Internazionale Milano,3,2,0,1,6,4,1,3,AWAY,SA,https://upload.wikimedia.org/wikipedia/en/thumb/0/0b/Inter_Milan.svg/316px-Inter_Milan.svg,Inter
3,SSC Napoli,3,2,0,1,6,5,5,0,AWAY,SA,http://upload.wikimedia.org/wikipedia/commons/2/28/S.S.C._Napoli_logo.svg,Napoli
4,SS Lazio,3,2,0,1,6,3,3,0,AWAY,SA,http://upload.wikimedia.org/wikipedia/de/thumb/4/47/Lazio_Rom.svg/500px-Lazio_Rom.svg.png,Lazio
5,UC Sampdoria,3,1,1,1,4,5,1,4,AWAY,SA,,Sampdoria
6,US Sassuolo Calcio,3,1,1,1,4,5,4,1,AWAY,SA,http://upload.wikimedia.org/wikipedia/de/a/a3/US_Sassuolo_Calcio.svg,Sassuolo
7,Udinese Calcio,3,1,1,1,4,4,3,1,AWAY,SA,http://upload.wikimedia.org/wikipedia/de/b/b1/Udinese_Calcio.svg,Udinese
8,AC Milan,3,1,1,1,4,4,4,0,AWAY,SA,http://upload.wikimedia.org/wikipedia/de/9/9e/AC_Mailand_Logo.svg,Milan
9,Torino FC,3,0,3,0,3,3,3,0,AWAY,SA,http://upload.wikimedia.org/wikipedia/de/2/2e/Torino_FC_Logo.svg,Torino
10,AS Roma,3,1,0,2,3,2,4,-2,AWAY,SA,http://upload.wikimedia.org/wikipedia/de/3/32/AS_Rom.svg,Roma
11,Parma Calcio 1913,3,1,0,2,3,1,4,-3,AWAY,SA,http://upload.wikimedia.org/wikipedia/de/e/e2/FC_Parma.svg,Parma
12,Cagliari Calcio,3,1,0,2,3,1,4,-3,AWAY,SA,http://upload.wikimedia.org/wikipedia/de/3/3d/Cagliari_Calcio.svg,Cagliari
13,SPAL 2013,3,1,0,2,3,1,4,-3,AWAY,SA,,SPAL 2013
14,Atalanta BC,3,0,2,1,2,5,7,-2,AWAY,SA,http://upload.wikimedia.org/wikipedia/de/2/28/Atalanta_BC.svg,Atalanta
15,ACF Fiorentina,3,0,1,2,1,2,4,-2,AWAY,SA,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/ACF_Fiorentina_2.svg/261px-ACF_Fiorentina_2.svg,Fiorentina
16,Empoli FC,3,0,1,2,1,2,5,-3,AWAY,SA,http://upload.wikimedia.org/wikipedia/de/4/42/Logo_FC_Empoli.svg,Empoli
17,Bologna FC 1909,3,0,1,2,1,0,3,-3,AWAY,SA,http://upload.wikimedia.org/wikipedia/de/9/92/FC_Bologna.svg,Bologna
18,AC Chievo Verona,3,0,1,2,1,3,10,-7,AWAY,SA,http://upload.wikimedia.org/wikipedia/de/3/3f/AC_Chievo_Verona.svg,Chievo
19,Genoa CFC,2,0,0,2,0,4,9,-5,AWAY,SA,http://upload.wikimedia.org/wikipedia/de/7/76/Genoa_CFC.svg,Genoa
20,Frosinone Calcio,3,0,0,3,0,0,9,-9,AWAY,SA,https://upload.wikimedia.org/wikipedia/it/c/c3/Frosinonestemma.png,Frosinone
1,FC Barcelona,6,4,1,1,13,17,7,10,TOTAL,PD,http://upload.wikimedia.org/wikipedia/de/a/aa/Fc_barcelona.svg,Barcelona
2,Real Madrid CF,6,4,1,1,13,12,6,6,TOTAL,PD,http://upload.wikimedia.org/wikipedia/de/3/3f/Real_Madrid_Logo.svg,Real Madrid
3,Club Atlético de Madrid,6,3,2,1,11,8,4,4,TOTAL,PD,http://upload.wikimedia.org/wikipedia/de/c/c1/Atletico_Madrid_logo.svg,Club Atlético
4,Deportivo Alavés,6,3,2,1,11,8,5,3,TOTAL,PD,http://upload.wikimedia.org/wikipedia/en/2/2e/Deportivo_Alaves_logo.svg,Alavés
5,Sevilla FC,6,3,1,2,10,13,6,7,TOTAL,PD,http://upload.wikimedia.org/wikipedia/en/8/86/Sevilla_cf_200px.png,Sevilla
6,RCD Espanyol de Barcelona,6,3,1,2,10,6,4,2,TOTAL,PD,http://upload.wikimedia.org/wikipedia/de/a/a7/RCD_Espanyol_De_Barcelona.svg,Espanyol
7,RC Celta de Vigo,6,2,3,1,9,11,9,2,TOTAL,PD,http://upload.wikimedia.org/wikipedia/de/0/0c/Celta_Vigo.svg,Celta Vigo
8,Villarreal CF,6,2,2,2,8,5,3,2,TOTAL,PD,http://upload.wikimedia.org/wikipedia/de/7/70/Villarreal_CF_logo.svg,Villarreal
9,Real Sociedad de Fútbol,6,2,2,2,8,9,9,0,TOTAL,PD,http://upload.wikimedia.org/wikipedia/de/5/55/Real_Sociedad_San_Sebasti%C3%A1n.svg,Real Sociedad
10,Getafe CF,6,2,2,2,8,4,4,0,TOTAL,PD,https://upload.wikimedia.org/wikipedia/en/7/7f/Getafe_logo.png,Getafe
11,Girona FC,5,2,2,1,8,7,8,-1,TOTAL,PD,http://upload.wikimedia.org/wikipedia/en/9/90/For_article_Girona_FC.svg,Girona FC
12,SD Eibar,6,2,1,3,7,5,7,-2,TOTAL,PD,http://upload.wikimedia.org/wikipedia/en/7/75/SD_Eibar_logo.svg,Eibar
13,Real Valladolid CF,6,1,3,2,6,5,6,-1,TOTAL,PD,http://upload.wikimedia.org/wikipedia/de/6/6e/Real_Valladolid_Logo.svg,Valladolid
14,Athletic Club,5,1,3,1,6,7,9,-2,TOTAL,PD,http://upload.wikimedia.org/wikipedia/de/7/7f/Athletic_Club_Bilbao.svg,Athletic Club
15,Real Betis Balompié,5,1,3,1,6,3,5,-2,TOTAL,PD,http://upload.wikimedia.org/wikipedia/de/4/43/Real_Betis.svg,Real Betis
16,Valencia CF,6,0,5,1,5,4,6,-2,TOTAL,PD,http://upload.wikimedia.org/wikipedia/de/7/75/FC_Valencia.svg,Valencia
17,Levante UD,6,1,1,4,4,9,13,-4,TOTAL,PD,http://upload.wikimedia.org/wikipedia/de/1/1f/Levante_ud.svg,Levante
18,CD Leganés,6,1,1,4,4,6,11,-5,TOTAL,PD,http://upload.wikimedia.org/wikipedia/en/thumb/0/02/Club_Deportivo_Legan%C3%A9s.png/180px-Club_Deportivo_Legan%C3%A9s.png,Leganés
19,Rayo Vallecano de Madrid,5,1,1,3,4,5,12,-7,TOTAL,PD,http://upload.wikimedia.org/wikipedia/de/1/12/Rayo_vallecano_madrid.svg,Rayo Vallecano
20,SD Huesca,6,1,1,4,4,6,16,-10,TOTAL,PD,https://upload.wikimedia.org/wikipedia/en/1/11/Sd_huesca.png,Huesca
1,Real Madrid CF,3,3,0,0,9,7,1,6,HOME,PD,http://upload.wikimedia.org/wikipedia/de/3/3f/Real_Madrid_Logo.svg,Real Madrid
2,RCD Espanyol de Barcelona,3,3,0,0,9,4,0,4,HOME,PD,http://upload.wikimedia.org/wikipedia/de/a/a7/RCD_Espanyol_De_Barcelona.svg,Espanyol
3,FC Barcelona,3,2,1,0,7,13,4,9,HOME,PD,http://upload.wikimedia.org/wikipedia/de/a/aa/Fc_barcelona.svg,Barcelona
4,Club Atlético de Madrid,3,2,1,0,7,5,1,4,HOME,PD,http://upload.wikimedia.org/wikipedia/de/c/c1/Atletico_Madrid_logo.svg,Club Atlético
5,SD Eibar,3,2,0,1,6,4,3,1,HOME,PD,http://upload.wikimedia.org/wikipedia/en/7/75/SD_Eibar_logo.svg,Eibar
6,RC Celta de Vigo,3,1,2,0,5,6,4,2,HOME,PD,http://upload.wikimedia.org/wikipedia/de/0/0c/Celta_Vigo.svg,Celta Vigo
7,Deportivo Alavés,3,1,2,0,5,2,1,1,HOME,PD,http://upload.wikimedia.org/wikipedia/en/2/2e/Deportivo_Alaves_logo.svg,Alavés
8,Athletic Club,4,1,2,1,5,5,7,-2,HOME,PD,http://upload.wikimedia.org/wikipedia/de/7/7f/Athletic_Club_Bilbao.svg,Athletic Club
9,Sevilla FC,3,1,1,1,4,3,2,1,HOME,PD,http://upload.wikimedia.org/wikipedia/en/8/86/Sevilla_cf_200px.png,Sevilla
10,CD Leganés,3,1,1,1,4,4,4,0,HOME,PD,http://upload.wikimedia.org/wikipedia/en/thumb/0/02/Club_Deportivo_Legan%C3%A9s.png/180px-Club_Deportivo_Legan%C3%A9s.png,Leganés
11,Getafe CF,3,1,1,1,4,2,2,0,HOME,PD,https://upload.wikimedia.org/wikipedia/en/7/7f/Getafe_logo.png,Getafe
12,Girona FC,3,1,1,1,4,4,6,-2,HOME,PD,http://upload.wikimedia.org/wikipedia/en/9/90/For_article_Girona_FC.svg,Girona FC
13,Real Betis Balompié,3,1,1,1,4,3,5,-2,HOME,PD,http://upload.wikimedia.org/wikipedia/de/4/43/Real_Betis.svg,Real Betis
14,Valencia CF,3,0,3,0,3,2,2,0,HOME,PD,http://upload.wikimedia.org/wikipedia/de/7/75/FC_Valencia.svg,Valencia
15,Real Valladolid CF,3,1,0,2,3,2,3,-1,HOME,PD,http://upload.wikimedia.org/wikipedia/de/6/6e/Real_Valladolid_Logo.svg,Valladolid
16,Real Sociedad de Fútbol,2,0,1,1,1,3,4,-1,HOME,PD,http://upload.wikimedia.org/wikipedia/de/5/55/Real_Sociedad_San_Sebasti%C3%A1n.svg,Real Sociedad
17,Villarreal CF,3,0,1,2,1,1,3,-2,HOME,PD,http://upload.wikimedia.org/wikipedia/de/7/70/Villarreal_CF_logo.svg,Villarreal
18,Levante UD,3,0,1,2,1,5,10,-5,HOME,PD,http://upload.wikimedia.org/wikipedia/de/1/1f/Levante_ud.svg,Levante
19,SD Huesca,2,0,0,2,0,0,2,-2,HOME,PD,https://upload.wikimedia.org/wikipedia/en/1/11/Sd_huesca.png,Huesca
20,Rayo Vallecano de Madrid,2,0,0,2,0,2,9,-7,HOME,PD,http://upload.wikimedia.org/wikipedia/de/1/12/Rayo_vallecano_madrid.svg,Rayo Vallecano
1,Villarreal CF,3,2,1,0,7,4,0,4,AWAY,PD,http://upload.wikimedia.org/wikipedia/de/7/70/Villarreal_CF_logo.svg,Villarreal
2,Real Sociedad de Fútbol,4,2,1,1,7,6,5,1,AWAY,PD,http://upload.wikimedia.org/wikipedia/de/5/55/Real_Sociedad_San_Sebasti%C3%A1n.svg,Real Sociedad
3,Sevilla FC,3,2,0,1,6,10,4,6,AWAY,PD,http://upload.wikimedia.org/wikipedia/en/8/86/Sevilla_cf_200px.png,Sevilla
4,Deportivo Alavés,3,2,0,1,6,6,4,2,AWAY,PD,http://upload.wikimedia.org/wikipedia/en/2/2e/Deportivo_Alaves_logo.svg,Alavés
5,FC Barcelona,3,2,0,1,6,4,3,1,AWAY,PD,http://upload.wikimedia.org/wikipedia/de/a/aa/Fc_barcelona.svg,Barcelona
6,Girona FC,2,1,1,0,4,3,2,1,AWAY,PD,http://upload.wikimedia.org/wikipedia/en/9/90/For_article_Girona_FC.svg,Girona FC
7,Real Madrid CF,3,1,1,1,4,5,5,0,AWAY,PD,http://upload.wikimedia.org/wikipedia/de/3/3f/Real_Madrid_Logo.svg,Real Madrid
8,RC Celta de Vigo,3,1,1,1,4,5,5,0,AWAY,PD,http://upload.wikimedia.org/wikipedia/de/0/0c/Celta_Vigo.svg,Celta Vigo
9,Club Atlético de Madrid,3,1,1,1,4,3,3,0,AWAY,PD,http://upload.wikimedia.org/wikipedia/de/c/c1/Atletico_Madrid_logo.svg,Club Atlético
10,Rayo Vallecano de Madrid,3,1,1,1,4,3,3,0,AWAY,PD,http://upload.wikimedia.org/wikipedia/de/1/12/Rayo_vallecano_madrid.svg,Rayo Vallecano
11,Getafe CF,3,1,1,1,4,2,2,0,AWAY,PD,https://upload.wikimedia.org/wikipedia/en/7/7f/Getafe_logo.png,Getafe
12,SD Huesca,4,1,1,2,4,6,14,-8,AWAY,PD,https://upload.wikimedia.org/wikipedia/en/1/11/Sd_huesca.png,Huesca
13,Levante UD,3,1,0,2,3,4,3,1,AWAY,PD,http://upload.wikimedia.org/wikipedia/de/1/1f/Levante_ud.svg,Levante
14,Real Valladolid CF,3,0,3,0,3,3,3,0,AWAY,PD,http://upload.wikimedia.org/wikipedia/de/6/6e/Real_Valladolid_Logo.svg,Valladolid
15,Real Betis Balompié,2,0,2,0,2,0,0,0,AWAY,PD,http://upload.wikimedia.org/wikipedia/de/4/43/Real_Betis.svg,Real Betis
16,Valencia CF,3,0,2,1,2,2,4,-2,AWAY,PD,http://upload.wikimedia.org/wikipedia/de/7/75/FC_Valencia.svg,Valencia
17,Athletic Club,1,0,1,0,1,2,2,0,AWAY,PD,http://upload.wikimedia.org/wikipedia/de/7/7f/Athletic_Club_Bilbao.svg,Athletic Club
18,RCD Espanyol de Barcelona,3,0,1,2,1,2,4,-2,AWAY,PD,http://upload.wikimedia.org/wikipedia/de/a/a7/RCD_Espanyol_De_Barcelona.svg,Espanyol
19,SD Eibar,3,0,1,2,1,1,4,-3,AWAY,PD,http://upload.wikimedia.org/wikipedia/en/7/75/SD_Eibar_logo.svg,Eibar
20,CD Leganés,3,0,0,3,0,2,7,-5,AWAY,PD,http://upload.wikimedia.org/wikipedia/en/thumb/0/02/Club_Deportivo_Legan%C3%A9s.png/180px-Club_Deportivo_Legan%C3%A9s.png,Leganés
